timestamp,source,price,binance_price_at_time
1764942454.315488,BINANCE,90392.815,90392.815
1764942454.319989,BINANCE,90392.815,90392.815
1764942454.3201034,BINANCE,90392.815,90392.815
1764942454.3201902,BINANCE,90392.815,90392.815
1764942454.3202732,BINANCE,90392.815,90392.815
1764942454.3203561,BINANCE,90392.815,90392.815
1764942454.3204365,BINANCE,90392.815,90392.815
1764942454.3205142,BINANCE,90392.815,90392.815
1764942454.3205922,BINANCE,90392.815,90392.815
1764942454.3206804,BINANCE,90392.815,90392.815
1764942454.3208144,BINANCE,90392.815,90392.815
1764942454.3208942,BINANCE,90392.815,90392.815
1764942454.3209705,BINANCE,90392.815,90392.815
1764942454.3210464,BINANCE,90392.815,90392.815
1764942454.32112,BINANCE,90392.815,90392.815
1764942454.3211942,BINANCE,90392.815,90392.815
1764942454.3212779,BINANCE,90392.815,90392.815
1764942454.3213525,BINANCE,90392.815,90392.815
1764942454.321425,BINANCE,90392.815,90392.815
1764942454.3214996,BINANCE,90392.815,90392.815
1764942454.3216205,BINANCE,90392.815,90392.815
1764942454.321696,BINANCE,90392.815,90392.815
1764942454.321771,BINANCE,90392.815,90392.815
1764942454.3218458,BINANCE,90392.815,90392.815
1764942454.3219204,BINANCE,90392.815,90392.815
1764942454.3219948,BINANCE,90392.815,90392.815
1764942454.3220482,BINANCE,90392.815,90392.815
1764942454.3234591,BINANCE,90392.815,90392.815
1764942454.3316453,BINANCE,90392.815,90392.815
1764942454.3317344,BINANCE,90392.815,90392.815
1764942454.3318157,BINANCE,90392.815,90392.815
1764942454.331892,BINANCE,90392.815,90392.815
1764942454.331947,BINANCE,90392.815,90392.815
1764942454.3377376,BINANCE,90392.815,90392.815
1764942454.3633654,CHAINLINK,90410.26017892227,90392.815
1764942454.3696232,BINANCE,90392.815,90392.815
1764942454.371412,BINANCE,90392.815,90392.815
1764942454.5215824,BINANCE,90392.815,90392.815
1764942454.5217197,BINANCE,90392.815,90392.815
1764942454.521805,BINANCE,90392.815,90392.815
1764942454.5218837,BINANCE,90392.815,90392.815
1764942454.5219636,BINANCE,90392.815,90392.815
1764942454.522042,BINANCE,90392.815,90392.815
1764942454.5221262,BINANCE,90392.815,90392.815
1764942454.522203,BINANCE,90392.815,90392.815
1764942454.5222807,BINANCE,90392.815,90392.815
1764942454.5223572,BINANCE,90392.815,90392.815
1764942454.522434,BINANCE,90392.815,90392.815
1764942454.5225105,BINANCE,90392.815,90392.815
1764942454.5225875,BINANCE,90392.815,90392.815
1764942454.5226638,BINANCE,90392.815,90392.815
1764942454.5227396,BINANCE,90392.815,90392.815
1764942454.5228157,BINANCE,90392.815,90392.815
1764942454.5228913,BINANCE,90392.815,90392.815
1764942454.522947,BINANCE,90392.815,90392.815
1764942454.6587784,BINANCE,90392.815,90392.815
1764942454.6600413,BINANCE,90392.815,90392.815
